"client_id","gender","age","membership_duration","visit_count","fitness_category_count","total_visit_cost","fitness_category_crossfit","fitness_category_goboxing","fitness_category_АКАДЕМИЯ_ИЛЬИНА","fitness_category_ВОСТОЧНЫЕ_ЕДИНОБОРСТВА","fitness_category_ГРУППОВЫЕ_ПРОГРАММЫ","fitness_category_ДЕТСКИЙ_КЛУБ","fitness_category_ТРЕНАЖЕРНЫЙ_ЗАЛ","fitness_category_СТУДИЯ_ЙОГИ_ШАКТИ","fitness_category_ВОДНЫЕ_ПРОГРАММЫ"
232,"1","47","16.0000000000000000","72","3","27184800.00",0,0,0,0,1,0,1,1,0
233,"0","24","1449.7500000000000000","114","3","98551100.00",1,1,0,0,0,0,1,0,0
234,"1","5","1544.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
235,"1","31","667.2500000000000000","60","3","22654000.00",0,0,0,0,1,0,1,1,0
237,"0","15","1751.0000000000000000","90","3","70054500.00",0,1,0,1,0,0,1,0,0
238,"0","36","354.0000000000000000","52","2","57385900.00",0,1,0,0,0,0,1,0,0
239,"0","5","2051.2500000000000000","0","1","0",0,0,0,0,0,0,0,0,0
240,"1","32","672.2500000000000000","195","5","106542150.00",1,1,0,0,1,0,1,1,0
241,"1","30","1426.7500000000000000","69","3","26052100.00",0,0,0,0,1,0,1,1,0
243,"0","10","672.2500000000000000","30","2","3321000.00",0,0,0,0,0,1,0,0,1
245,"0","27","107.0000000000000000","52","2","35895600.00",1,0,0,0,0,0,1,0,0
246,"1","31","1150.7500000000000000","116","4","44051000.00",1,0,0,0,1,0,1,1,0
248,"0","21","177.0000000000000000","16","1","15908800.00",0,0,0,0,0,0,1,0,0
249,"0","28","365.2500000000000000","48","2","52971600.00",0,1,0,0,0,0,1,0,0
251,"0","8","1712.0000000000000000","22","2","2435400.00",0,0,0,0,0,1,0,0,1
253,"0","36","1245.7500000000000000","18","1","17897400.00",0,0,0,0,0,0,1,0,0
254,"0","35","1740.0000000000000000","48","2","52971600.00",0,1,0,0,0,0,1,0,0
256,"0","35","1411.7500000000000000","52","2","57385900.00",0,1,0,0,0,0,1,0,0
257,"0","6","1790.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
259,"0","17","177.0000000000000000","44","2","24690600.00",0,0,0,1,0,0,1,0,0
260,"1","11","1712.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
261,"0","7","206.0000000000000000","26","2","2878200.00",0,0,0,0,0,1,0,0,1
262,"1","26","1105.7500000000000000","57","3","21521300.00",0,0,0,0,1,0,1,1,0
263,"0","12","365.2500000000000000","0","1","0",0,0,0,0,0,0,0,0,0
264,"0","10","365.2500000000000000","32","2","3542400.00",0,0,0,0,0,1,0,0,1
265,"0","19","365.2500000000000000","160","4","93406000.00",0,1,0,1,1,0,1,0,0
266,"1","13","365.2500000000000000","0","2","0",0,0,0,0,0,0,0,0,0
267,"0","13","1693.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
268,"0","4","365.2500000000000000","0","2","0",0,0,0,0,0,0,0,0,0
269,"0","12","724.2500000000000000","0","1","0",0,0,0,0,0,0,0,0,0
270,"0","6","1001.5000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
271,"1","55","711.2500000000000000","69","3","26052100.00",0,0,0,0,1,0,1,1,0
272,"0","5","666.2500000000000000","32","2","3542400.00",0,0,0,0,0,1,0,0,1
273,"0","7","93.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
274,"1","24","1502.0000000000000000","195","5","106542150.00",1,1,0,0,1,0,1,1,0
275,"1","10","312.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
276,"1","46","516.2500000000000000","81","3","36560700.00",0,0,0,0,0,0,1,1,1
277,"1","27","1936.2500000000000000","99","3","50127000.00",1,0,0,0,0,0,1,1,0
278,"0","9","1680.0000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
279,"0","34","330.0000000000000000","58","2","64007350.00",0,1,0,0,0,0,1,0,0
281,"1","25","365.2500000000000000","120","4","45570000.00",1,0,0,0,1,0,1,1,0
282,"1","32","365.2500000000000000","180","5","62654400.00",1,0,0,0,1,0,1,1,1
283,"0","17","1486.0000000000000000","90","3","70054500.00",0,1,0,1,0,0,1,0,0
284,"0","24","929.5000000000000000","11","1","10937300.00",0,0,0,0,0,0,1,0,0
285,"1","28","1674.0000000000000000","168","4","114737700.00",1,1,0,0,0,0,1,1,0
286,"1","32","360.0000000000000000","81","3","63329850.00",0,1,0,0,0,0,1,1,0
287,"1","30","682.2500000000000000","104","4","60984300.00",0,1,0,0,1,0,1,1,0
288,"0","33","1871.2500000000000000","0","3","0",0,0,0,0,0,0,0,0,0
291,"1","30","1637.0000000000000000","57","3","21521300.00",0,0,0,0,1,0,1,1,0
293,"0","8","1512.0000000000000000","26","2","2878200.00",0,0,0,0,0,1,0,0,1
296,"0","10","983.5000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
297,"0","28","179.0000000000000000","36","2","39728700.00",0,1,0,0,0,0,1,0,0
298,"1","9","1444.7500000000000000","36","2","3985200.00",0,0,0,0,0,1,0,0,1
299,"1","24","1194.7500000000000000","230","5","125665100.00",1,1,0,0,1,0,1,1,0
300,"0","44","1061.5000000000000000","46","2","50764450.00",0,1,0,0,0,0,1,0,0
301,"0","20","1608.0000000000000000","46","2","50764450.00",0,1,0,0,0,0,1,0,0
302,"1","9","1600.0000000000000000","26","2","2878200.00",0,0,0,0,0,1,0,0,1
303,"0","19","177.0000000000000000","42","2","46350150.00",0,1,0,0,0,0,1,0,0
304,"0","9","1130.7500000000000000","30","2","3321000.00",0,0,0,0,0,1,0,0,1
305,"1","21","662.2500000000000000","140","4","82094250.00",0,1,0,0,1,0,1,1,0
306,"1","31","179.0000000000000000","34","2","19255900.00",0,0,0,0,0,0,1,1,0
307,"0","32","365.2500000000000000","34","2","16903100.00",0,0,0,0,1,0,1,0,0
308,"0","30","153.0000000000000000","0","2","0",0,0,0,0,0,0,0,0,0
309,"1","22","1023.5000000000000000","75","3","33852500.00",0,0,0,0,0,0,1,1,1
311,"1","19","365.2500000000000000","48","3","18123200.00",0,0,0,0,1,0,1,1,0
312,"1","34","2032.2500000000000000","57","3","25727900.00",0,0,0,0,0,0,1,1,1
313,"1","37","708.2500000000000000","104","4","35206600.00",0,0,0,0,1,0,1,1,1
314,"0","30","1493.0000000000000000","66","3","57055900.00",1,1,0,0,0,0,1,0,0
315,"0","25","311.0000000000000000","38","2","18891700.00",0,0,0,0,1,0,1,0,0
316,"0","46","177.0000000000000000","52","2","57385900.00",0,1,0,0,0,0,1,0,0
317,"0","5","945.5000000000000000","0","1","0",0,0,0,0,0,0,0,0,0
318,"0","11","1522.0000000000000000","30","2","3321000.00",0,0,0,0,0,1,0,0,1
322,"1","36","1366.7500000000000000","69","3","26052100.00",0,0,0,0,1,0,1,1,0
323,"0","23","1500.0000000000000000","32","2","17956800.00",0,0,0,1,0,0,1,0,0
324,"1","7","1317.7500000000000000","0","1","0",0,0,0,0,0,0,0,0,0
326,"0","22","1372.7500000000000000","10","1","9943000.00",0,0,0,0,0,0,1,0,0
327,"0","29","179.0000000000000000","72","3","62242800.00",1,1,0,0,0,0,1,0,0
328,"1","22","1250.7500000000000000","75","3","28317500.00",0,0,0,0,1,0,1,1,0
330,"1","25","1395.7500000000000000","140","5","76491800.00",1,1,0,0,1,0,1,1,0
331,"0","22","281.0000000000000000","48","2","52971600.00",0,1,0,0,0,0,1,0,0
332,"0","4","358.0000000000000000","34","2","3763800.00",0,0,0,0,0,1,0,0,1
